STORED: PID=23, Name=p23, CurrentInstruction=10, Instructions=1022, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=24, Name=p24, CurrentInstruction=5, Instructions=1518, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=51, Name=p51, CurrentInstruction=5, Instructions=1778, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=58, Name=p58, CurrentInstruction=0, Instructions=1165, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=52, Name=p52, CurrentInstruction=5, Instructions=1574, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=59, Name=p59, CurrentInstruction=0, Instructions=1625, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=3, Name=p3, CurrentInstruction=20, Instructions=1961, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=60, Name=p60, CurrentInstruction=0, Instructions=1275, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=53, Name=p53, CurrentInstruction=5, Instructions=1414, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=10, Name=p10, CurrentInstruction=10, Instructions=1489, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=24, Name=p24, CurrentInstruction=10, Instructions=1518, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=61, Name=p61, CurrentInstruction=0, Instructions=1273, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=54, Name=p54, CurrentInstruction=5, Instructions=1491, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=25, Name=p25, CurrentInstruction=5, Instructions=1371, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=55, Name=p55, CurrentInstruction=5, Instructions=1251, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=62, Name=p62, CurrentInstruction=0, Instructions=1249, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=56, Name=p56, CurrentInstruction=5, Instructions=1243, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=11, Name=p11, CurrentInstruction=10, Instructions=1314, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=10, Name=p10, CurrentInstruction=15, Instructions=1489, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=63, Name=p63, CurrentInstruction=0, Instructions=1068, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=57, Name=p57, CurrentInstruction=5, Instructions=1059, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=26, Name=p26, CurrentInstruction=5, Instructions=1995, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=25, Name=p25, CurrentInstruction=10, Instructions=1371, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=64, Name=p64, CurrentInstruction=0, Instructions=1886, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=58, Name=p58, CurrentInstruction=5, Instructions=1165, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=65, Name=p65, CurrentInstruction=0, Instructions=1673, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=11, Name=p11, CurrentInstruction=15, Instructions=1314, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=27, Name=p27, CurrentInstruction=5, Instructions=1462, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=59, Name=p59, CurrentInstruction=5, Instructions=1625, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=66, Name=p66, CurrentInstruction=0, Instructions=1791, Size=512, Pages=8, Time=2025-08-03 18:19:06
STORED: PID=26, Name=p26, CurrentInstruction=10, Instructions=1995, Size=512, Pages=8, Time=2025-08-03 18:19:06
LOADED: PID=4, Name=p4, CurrentInstruction=15, Instructions=1219, Size=512, Pages=8, Time=2025-08-03 18:19:06
STORED: PID=60, Name=p60, CurrentInstruction=5, Instructions=1275, Size=512, Pages=8, Time=2025-08-03 18:19:06
LOADED: PID=67, Name=p67, CurrentInstruction=0, Instructions=1752, Size=512, Pages=8, Time=2025-08-03 18:19:06
STORED: PID=61, Name=p61, CurrentInstruction=5, Instructions=1273, Size=512, Pages=8, Time=2025-08-03 18:19:06
LOADED: PID=28, Name=p28, CurrentInstruction=5, Instructions=1301, Size=512, Pages=8, Time=2025-08-03 18:19:06
STORED: PID=27, Name=p27, CurrentInstruction=10, Instructions=1462, Size=512, Pages=8, Time=2025-08-03 18:19:06
LOADED: PID=68, Name=p68, CurrentInstruction=0, Instructions=1135, Size=512, Pages=8, Time=2025-08-03 18:19:06
STORED: PID=62, Name=p62, CurrentInstruction=5, Instructions=1249, Size=512, Pages=8, Time=2025-08-03 18:19:06
LOADED: PID=69, Name=p69, CurrentInstruction=0, Instructions=1658, Size=512, Pages=8, Time=2025-08-03 18:19:06
STORED: PID=4, Name=p4, CurrentInstruction=20, Instructions=1219, Size=512, Pages=8, Time=2025-08-03 18:19:06
LOADED: PID=29, Name=p29, CurrentInstruction=5, Instructions=1087, Size=512, Pages=8, Time=2025-08-03 18:19:06
STORED: PID=63, Name=p63, CurrentInstruction=5, Instructions=1068, Size=512, Pages=8, Time=2025-08-03 18:19:06
LOADED: PID=70, Name=p70, CurrentInstruction=0, Instructions=1746, Size=512, Pages=8, Time=2025-08-03 18:19:06
STORED: PID=28, Name=p28, CurrentInstruction=10, Instructions=1301, Size=512, Pages=8, Time=2025-08-03 18:19:06
LOADED: PID=12, Name=p12, CurrentInstruction=10, Instructions=1760, Size=512, Pages=8, Time=2025-08-03 18:19:06
STORED: PID=64, Name=p64, CurrentInstruction=5, Instructions=1886, Size=512, Pages=8, Time=2025-08-03 18:19:06
LOADED: PID=71, Name=p71, CurrentInstruction=0, Instructions=1286, Size=512, Pages=8, Time=2025-08-03 18:19:06
STORED: PID=65, Name=p65, CurrentInstruction=5, Instructions=1673, Size=512, Pages=8, Time=2025-08-03 18:19:06
LOADED: PID=30, Name=p30, CurrentInstruction=5, Instructions=1338, Size=512, Pages=8, Time=2025-08-03 18:19:06
